titleId,tmdb_id,budget,revenue,tmdb_popularity,tmdb_vote_average,tmdb_vote_count,original_language,tagline,status,spoken_languages,production_countries
tt3042384,,,,,,,,,,,
tt2486278,254126.0,2000000.0,0.0,0.7031,3.435,23.0,en,Absence makes the heart grow darkest,Released,English,
tt1361313,47088.0,7000000.0,453079.0,1.0182,5.8,105.0,en,"They're not gigolos, they're gentlemen.",Released,English,"FR, US"
tt0222124,,,,,,,,,,,
tt0421229,47880.0,750000.0,1720953.0,0.7032,6.5,41.0,en,"One Chance Meeting, Two Changed Lives",Released,English,GB
tt0202382,,,,,,,,,,,
tt0113403,40154.0,0.0,0.0,0.6658,7.1,42.0,en,The drama. The passion. The intrigue... And the rehearsals haven't even started.,Released,English,GB
tt1054115,11927.0,0.0,1131001.0,0.7847,4.961,103.0,no,,Released,Norwegian,NO
tt3195056,268099.0,0.0,0.0,0.2122,6.5,6.0,en,Love is the best thing in life...until it's over.,Released,German,"CH, US"
tt0061683,3104.0,0.0,0.0,1.3421,6.4,140.0,en,Now Frankenstein has created a beautiful woman with the soul of the Devil!,Released,English,GB
tt0061369,11047.0,0.0,1325312.0,1.2477,6.463,788.0,fr,,Released,French,"FR, BE"
tt1340107,44716.0,15000000.0,13004198.0,2.0817,7.113,448.0,da,,Released,"Danish, Russian, Georgian, Swedish, English","DK, SE"
tt0052997,46724.0,0.0,0.0,0.698,7.0,101.0,en,What is the league ... Who are the gentlemen ?,Released,English,GB
tt0040597,111960.0,784170.0,834332.0,0.6689,6.154,26.0,en,Miranda Has Everything!,Released,English,GB
tt0080923,16395.0,3000000.0,0.0,1.4089,6.628,662.0,it,Come face to face with Hell.,Released,Italian,IT
tt2990126,334532.0,0.0,0.0,0.773,5.97,181.0,en,Anybody can take a wrong turn.,Released,English,GB
tt0069047,119589.0,0.0,0.0,0.3836,4.391,23.0,es,When the moon is up the fun begins.,Released,Spanish,"IT, ES"
tt0067690,46175.0,0.0,0.0,0.8063,6.207,213.0,en,These are the Daughters of Darkness… They are waiting for you – They thrive on blood!,Released,English,"BE, FR, DE"
tt3541524,346709.0,0.0,646389.0,1.528,5.869,352.0,en,The clock is ticking. The world is watching.,Released,English,"GB, US"
